C4C,40.0044984164056,-105.264910115663
UMC,40.0069082741916,-105.271172765933
Engineering_Center,40.0069586381619,-105.262413406411
Duane_Physics,40.0080988107708,-105.267274954290
Math,40.0078946824088,-105.264099119903
Fleming,40.0019149946464,-105.262652064082
Wolf_Law,40.0015027210938,-105.262696286827
Environmental_Design,40.0070581661890,-105.269194544499
Econ,40.0080038178243,-105.274454229156
Hale_Science,40.0093474617792,-105.274761683126
Leeds_Buisness,40.0057423134729,-105.262926289217
Fiske_Planetarium,40.0037635458546,-105.263078821754
Rec_Center,40.0103630773567,-105.269083565933
Farrand_Field,40.0061777678848,-105.267161506411
Kitt_Field,40.0030674922878,-105.259267852440
Old_Main,40.0092272970693,-105.273334173542
Folsom_Field,40.0096445493190,-105.266479206411
Hallett,40.0052117150059,-105.264571064082
Engineering_Quad,40.0068083876009,-105.264962055543
Kitt_Central,40.0029016592738,-105.263159885134
Farrand,40.0061298318929,-105.267556301538
Arnett,40.0035471729518,-105.261085202377
Baker,40.0069711663565,-105.267759073542
Andrews,40.0031972920221,-105.261806523604
Sewall,40.0105004860595,-105.271161486179
